"Word","Rank","Frequency"
"figure","1005","212"
"bound","1006","211"
"fat","1007","211"
"46","1008","210"
"forget","1009","210"
"giving","1010","210"
"families","1011","210"
"purpose","1012","209"
"Such","1013","209"
"says","1014","209"
"Little","1015","208"
"age","1016","208"
"pay","1017","208"
"ashamed","1018","208"
"45","1019","208"
"try","1020","208"
"exactly","1021","208"
"horse","1022","208"
"faces","1023","207"
"Dr","1024","207"
"reign","1025","207"
"charge","1026","207"
"Have","1027","207"
"feeling","1028","207"
"touch","1029","207"
"court","1030","207"
"beside","1031","207"
"clothes","1032","206"
"happened","1033","206"
"slew","1034","206"
"destroyed","1035","206"
"equal","1036","205"
"fallen","1037","205"
"fled","1038","205"
"sudden","1039","205"
"streets","1040","205"
"Our","1041","205"
"interest","1042","205"
"sought","1043","204"
"fancy","1044","204"
"slain","1045","204"
"meant","1046","203"
"gates","1047","203"
"clean","1048","202"
"shame","1049","201"
"road","1050","201"
"promise","1051","200"
"attention","1052","200"
"countenance","1053","200"
"Jordan","1054","200"
"Are","1055","200"
"dare","1056","199"
"re","1057","199"
"broad","1058","199"
"carry","1059","199"
"object","1060","198"
"unclean","1061","198"
"youth","1062","198"
"beasts","1063","198"
"hearts","1064","198"
"pain","1065","197"
"Peter","1066","197"
"repeated","1067","197"
"enemy","1068","196"
"Starbuck","1069","196"
"rejoice","1070","196"
"north","1071","196"
"dream","1072","195"
"49","1073","195"
"favour","1074","194"
"delight","1075","194"
"ships","1076","194"
"satisfied","1077","194"
"rain","1078","193"
"pleasant","1079","193"
"south","1080","193"
"beauty","1081","193"
"Some","1082","193"
"prepared","1083","193"
"gather","1084","192"
"valley","1085","192"
"looks","1086","192"
"carriage","1087","192"
"ago","1088","191"
"mere","1089","191"
"months","1090","191"
"sins","1091","191"
"build","1092","190"
"vessels","1093","190"
"dinner","1094","190"
"throughout","1095","190"
"Did","1096","190"
"entirely","1097","189"
"worship","1098","189"
"reigned","1099","188"
"write","1100","188"
"neck","1101","188"
"moved","1102","187"
"running","1103","187"
"cross","1104","187"
"hid","1105","187"
"st","1106","187"
"breath","1107","187"
"ladies","1108","187"
"conversation","1109","186"
"Good","1110","186"
"loud","1111","186"
"usual","1112","186"
"nigh","1113","186"
"remain","1114","186"
"aside","1115","186"
"witness","1116","186"
"grave","1117","186"
"street","1118","185"
"alive","1119","185"
"chance","1120","185"
"minute","1121","184"
"whatever","1122","183"
"wished","1123","183"
"Even","1124","183"
"fixed","1125","183"
"vs","1126","183"
"remained","1127","183"
"Every","1128","182"
"golden","1129","182"
"regard","1130","182"
"creature","1131","182"
"sign","1132","182"
"fields","1133","182"
"rising","1134","181"
"goes","1135","181"
"Ah","1136","181"
"front","1137","181"
"elders","1138","181"
"married","1139","181"
"instead","1140","181"
"grew","1141","181"
"speech","1142","181"
"vast","1143","180"
"farther","1144","180"
"sick","1145","180"
"knows","1146","180"
"Ephraim","1147","179"
"moon","1148","179"
"raised","1149","179"
"119","1150","179"
"commandment","1151","179"
"heavens","1152","178"
"nobody","1153","178"
"Archer","1154","178"
"50","1155","178"
"cattle","1156","178"
"further","1157","178"
"wherein","1158","178"
"fresh","1159","178"
"tears","1160","177"
"pieces","1161","177"
"pure","1162","177"
"bones","1163","177"
"While","1164","176"
"laugh","1165","176"
"hate","1166","176"
"Smith","1167","176"
"Cecilia","1168","175"
"proud","1169","175"
"covered","1170","175"
"47","1171","175"
"doors","1172","174"
"taught","1173","174"
"self","1174","174"
"wide","1175","174"
"leaves","1176","174"
"former","1177","174"
"several","1178","174"
"determined","1179","173"
"angry","1180","173"
"neighbour","1181","173"
"nation","1182","173"
"Charles","1183","172"
"Pequod","1184","172"
"counsel","1185","172"
"stopped","1186","172"
"Benjamin","1187","171"
"Francisco","1188","171"
"Arthur","1189","171"
"view","1190","171"
"commandments","1191","171"
"summer","1192","170"
"proper","1193","170"
"appearance","1194","170"
"London","1195","170"
"merely","1196","169"
"grow","1197","169"
"straight","1198","169"
"Moab","1199","169"
"burn","1200","169"
"curious","1201","169"
"51","1202","169"
"respect","1203","169"
"devil","1204","169"
"situation","1205","169"
"piece","1206","169"
"eight","1207","168"
"names","1208","168"
"English","1209","168"
"pride","1210","168"
"fill","1211","168"
"especially","1212","167"
"begin","1213","167"
"rock","1214","167"
"hills","1215","167"
"kindness","1216","167"
"corner","1217","167"
"desolate","1218","167"
"drawing","1219","167"
"expected","1220","166"
"An","1221","166"
"worth","1222","166"
"salvation","1223","166"
"chosen","1224","166"
"middle","1225","166"
"th","1226","166"
"hearing","1227","166"
"church","1228","166"
"border","1229","166"
"makes","1230","166"
"consider","1231","165"
"parts","1232","165"
"Holy","1233","165"
"exclaimed","1234","165"
"terrible","1235","165"
"directly","1236","164"
"shewed","1237","164"
"bit","1238","164"
"camp","1239","164"
"quiet","1240","164"
"possession","1241","164"
"impossible","1242","164"
"buried","1243","164"
"excellent","1244","164"
"affection","1245","163"
"promised","1246","163"
"Nature","1247","163"
"stop","1248","163"
"draw","1249","163"
"saved","1250","163"
"yes","1251","163"
"easy","1252","163"
"tone","1253","163"
"crew","1254","162"
"ones","1255","162"
"gentlemen","1256","162"
"Brutus","1257","162"
"distance","1258","162"
"lo","1259","162"
"spring","1260","162"
"appointed","1261","162"
"ere","1262","162"
"escape","1263","161"
"sorrow","1264","161"
"lion","1265","161"
"Piedro","1266","161"
"Professor","1267","161"
"sail","1268","161"
"blind","1269","161"
"bless","1270","160"
"teach","1271","160"
"Hartfield","1272","160"
"didn","1273","160"
"killed","1274","160"
"heathen","1275","160"
"Give","1276","159"
"boats","1277","159"
"Earth","1278","158"
"week","1279","158"
"Don","1280","158"
"wings","1281","158"
"manners","1282","158"
"safe","1283","158"
"marry","1284","158"
"dust","1285","158"
"shape","1286","158"
"Old","1287","158"
"sides","1288","157"
"waves","1289","157"
"Moreover","1290","157"
"assure","1291","156"
"fool","1292","156"
"thick","1293","156"
"coat","1294","155"
"removed","1295","155"
"didst","1296","155"
"image","1297","155"
"feast","1298","155"
"suffer","1299","155"
"health","1300","155"
"grey","1301","155"
"Samuel","1302","155"
"fit","1303","154"
"shadow","1304","154"
"lead","1305","154"
"beneath","1306","154"
"future","1307","154"
"forgotten","1308","154"
"wives","1309","154"
"broke","1310","153"
"dry","1311","153"
"meeting","1312","153"
"fond","1313","153"
"Bru","1314","153"
"understood","1315","153"
"declare","1316","153"
"likely","1317","153"
"Zion","1318","153"
"clouds","1319","152"
"settled","1320","152"
"following","1321","152"
"Bear","1322","152"
"knowing","1323","152"
"sisters","1324","151"
"surprise","1325","151"
"worthy","1326","151"
"coast","1327","150"
"pale","1328","150"
"fortune","1329","150"
"thither","1330","149"
"Russell","1331","149"
"degree","1332","149"
"Jeremiah","1333","149"
"necessary","1334","149"
"Walter","1335","149"
"passage","1336","149"
"lands","1337","149"
"edge","1338","148"
"boys","1339","148"
"Bates","1340","148"
"simple","1341","148"
"brass","1342","148"
"journey","1343","148"
